&#160;Ст.;Код;Наименование;Группа;Поставщик;Покупатель;Отсрочка;Торговый агент;ИНН;Ан. счет;Вид цены по умолчанию;Лимит кредита (руб);Лимит кредита изм-ся вручную;Стоп-лист изм-ся вручную;Номер маршрута;Телефон;Юридический адрес;Адрес доставки;Макс. отсрочка;Время дост. контр.;Полное наименование;Код ОКПО;Код ОКОНХ;Банковские реквизиты;Директор;Гл. бух.;№ договора;Дата договора;Вышестоящая орг.;Долги на вышестоящую орг.;Email-адрес;КПП;Макс. сумма операции;БИК;Время доставки;EDI;Серия_лицензии;Номер_лицензии;Дата_выдачи;Кем_выдана;Срок_действия_лиц_с;Срок_действия_лиц_по;Рег_номер_лицензии;Степень_сложности;Работает по ЭДО
0;0;509381;Абдаляр;ПД Москва 6 (6);1;1;;;2310031475;201179641;;;0;0;;+7(966)316-19-78;350002, Краснодарский край, Краснодар г, Леваневского 185;141702, Московская обл, Долгопрудный г, Лихачевское ш, дом № 22, этаж 1;;;"АО ""Тандер"" м-н Абдаляр";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md509381@magnit.ru;504745056;;40349602;;;;50РПА0017093;27.12.2018;;13.05.2019;10.10.2023;;;Нет
0;1;509370;Абдер;ПД Москва 1 (6);1;1;;;2310031475;;;;0;0;;;350002, Краснодарский край, Краснодар г, Леваневского 185;143408, Московская обл, Красногорский р-н, Красногорск г, Игоря Мерлушкина ул, дом № 5;;;"АО ""Тандер"" м-н Абдер";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;;;;40349602;;;;;;;;;;;Нет
0;0;503714;Абсолютизация;ПД Москва 1 (24);1;1;;;2310031475;201185700;;;0;0;;+7(964)556-43-38;350002, Краснодарский край, Краснодар г, Леваневского 185;141895, Московская обл, Дмитровский р-н, Рыбаки д, дом № уч-к 30;;;"АО ""Тандер"" м-н Абсолютизация";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md503714@magnit.ru;500745055;;40349602;;;;50РПА0010697;;;26.12.2019;17.12.2024;;;Нет
0;0;502392;Авгий;ПД Москва 5 (24);1;1;;;2310031475;201176685;;;0;0;;+7(965)223-90-52;350002, Краснодарский край, Краснодар г, Леваневского 185;143070, Московская обл, Одинцовский р-н, Кубинка г, Наро-Фоминское ш;;;"АО ""Тандер"" м-н Авгий";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md502392@magnit.ru;503245012;;40349602;48;;;50РПА0019414;26.03.2019;;16.11.2021;23.12.2023;50РПА0009186;;Нет
0;0;771789;Авиабилет;ТД РЦ Ногинск (Алкоголь);1;1;;;2310031475;201178391;;;0;0;;+7(966)314-13-29;350002, Краснодарский край, Краснодар г, Леваневского 185;129327, Москва г, Коминтерна ул, дом № 33, корп. 2, этаж 1, пом. №II;;;"АО ""Тандер"" м-н Авиабилет";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md771789@magnit.ru;771645021;;40349602;;;;;;;;;;;Нет
0;0;772023;Авимим;ПД Москва 1 (24);1;1;;;2310031475;201182603;;;0;0;;+7(968)857-03-96;350002, Краснодарский край, Краснодар г, Леваневского 185;127410, Москва г, Путевой проезд, дом № 14, корпус 2, этаж 1, помещение №I;;;"АО ""Тандер"" м-н Авимим";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md772023@magnit.ru;771545043;;40349602;;;;77РПА0013917;19.03.2019;;14.06.2018;13.06.2023;77РПА0013917;;Нет
0;1;509572;Австралиец;ТД РЦ Ногинск (Алкоголь);1;1;;;2310031475;201178723;;;0;0;;;350002, Краснодарский край, Краснодар г, Леваневского 185;141280, Московская обл, Ивантеевка г, Первомайская ул, дом № 29, этаж 1, часть здания, нежилые помещения №8,9,15-29;;;"АО ""Тандер"" м-н Австралиец";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;;503845028;;40349602;;;;50РПА0004487;09.10.2018;;09.10.2018;14.11.2022;50РПА0004487;;Нет
0;1;509265;Авторолог;ПД Москва 1 (6);1;1;;;2310031475;201179807;;;0;0;;;350002, Краснодарский край, Краснодар г, Леваневского 185;141069, Московская обл, Королев г, Первомайский мкр, Советская ул, дом № 47, корп. 8, пом. 3, цоколь;;;"АО ""Тандер"" м-н Авторолог";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md509265@magnit.ru;501845022;;40349602;;;;;;;;;;;Нет
0;1;503635;Авункулат;ПД Москва 6 (24);1;1;;;2310031475;201182062;;;0;0;;+7(909)977-78-69;350002, Краснодарский край, Краснодар г, Леваневского 185;143405, Московская обл, Красногорск г, мкр. 5;;;"АО ""Тандер"" м-н Авункулат";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;;502445025;;40349602;;;;;;;;;;;Нет
0;0;957788;Авчурино;Магнит•ПД МК;1;1;;;2310031475;201186238;;;0;0;;+7(965)184-41-80;350002, Краснодарский край, Краснодар г, Леваневского 185;121467, Москва г, Рублёвское ш, дом № 91, корп. 1;;;"АО ""Тандер"" м-н Авчурино";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;mk957788@magnit.ru;773145030;;40349602;;;;;;;;;;;Нет
