№ транзитного документа;Дата операции;Время создания;Сегодня;Задержка;№ задания;Код КА;Наименование КА;№ паллеты;Статус паллеты;Статус в диспетчере;МП паллеты;Комментарий РАО
777815GR0037;29.12.2021;13.07.2021;16.01.2022;187,00;356271153;777815;Жоакин;930782;Сформированная;Выполненное;Транзит МС ТД-747;
773645KR2006;29.12.2021;20.10.2021;16.01.2022;87,64;364395325;773645;Десантник;585824;Сформированная;Отложенное;Транзит МС ТД-745;
502870G3077/1;29.12.2021;25.10.2021;16.01.2022;82,47;364820058;502870;Диффузия;609873;Сформированная;Отложенное;Транзит МС ТД-737;
502870N1391/2;29.12.2021;27.10.2021;16.01.2022;80,24;365021927;502870;Диффузия;622105;Сформированная;Отложенное;Транзит МС ТД-739;
502870N1391;29.12.2021;30.10.2021;16.01.2022;77,58;365246014;502870;Диффузия;634189;Сформированная;Отложенное;Транзит МС ТД-737;
509106WR0238;29.12.2021;19.11.2021;16.01.2022;57,36;366937428;509106;Демавенд;730836;Сформированная;Отложенное;Транзит МС ТД-743;
502870MR31034;29.12.2021;19.11.2021;16.01.2022;57,32;366940287;502870;Диффузия;731114;Сформированная;Отложенное;Транзит МС ТД-751;
774913MR04054;29.12.2021;20.11.2021;16.01.2022;56,41;367012918;774913;Региум;734588;Сформированная;Отложенное;Транзит МС ТД-751;
773645MR04078;29.12.2021;20.11.2021;16.01.2022;56,40;367013346;773645;Десантник;734625;Сформированная;Отложенное;Транзит МС ТД-751;
773645KRR2006;29.12.2021;27.11.2021;16.01.2022;49,62;367604701;773645;Десантник;770504;Сформированная;Отложенное;Транзит МС ТД-753;
764514WR0170/1;29.12.2021;09.12.2021;16.01.2022;37,62;368555724;764514;Амарилло;817022;Сформированная;Отложенное;Транзит МС ТД-743;Не наш КА, необходимо проверить корректность приемки
502870GR3075/6;29.12.2021;27.12.2021;16.01.2022;19,58;370134354;502870;Диффузия;891413;Сформированная;Отложенное;Транзит МС ТД-747;
502870A3075/6;29.12.2021;27.12.2021;16.01.2022;19,58;370134720;502870;Диффузия;891437;Сформированная;Отложенное;Транзит МС ТД-743;
502870A3075/6;29.12.2021;27.12.2021;16.01.2022;19,58;370134720;502870;Диффузия;716481;Сформированная;Отложенное;Транзит МС ТД-745;
508745G2702/5;17.01.2022;06.01.2022;16.01.2022;9,03;370836994;508745;Бельвиль;925645;Сформированная;Выполненное;Транзит МС ТД-900;
